Gene2	logFC	logCPM	PValue
hsa-mir-105-1	-2.42223879547493	3.49707148169732	3.34510477671017e-05
hsa-mir-105-2	-2.4663498828869	3.49440701200886	4.0134106634928e-05
hsa-mir-1275	-1.02276319629494	-0.524967357361097	0.00454187831617279
hsa-mir-143	-1.02107338597188	16.0350940575247	4.00273546688323e-06
hsa-mir-147b	-1.00741443972363	-1.41648397913872	0.0324330633697081
hsa-mir-182	-2.67183607216417	11.711102220692	3.99922433373241e-11
hsa-mir-183	-3.06152023961326	11.0653919604723	7.13278572285470e-12
hsa-mir-208b	-1.67625538626062	-0.662387225607314	6.92190367199869e-08
hsa-mir-210	-1.59800942742002	8.9827520656351	1.77074262189674e-09
hsa-mir-3160-1	-1.90577836901502	-1.48674946643481	5.26964102636947e-06
hsa-mir-3160-2	-1.30773012079996	-1.49091093300571	0.00502512108013037
hsa-mir-3193	-1.00361798413877	-0.972260422891087	0.00355271874771454
hsa-mir-3655	-1.18714021555254	-1.26706959704971	0.00598020556030496
hsa-mir-372	-1.29905700411752	-1.02918765102094	0.00233419649383758
hsa-mir-383	-4.34073521278824	3.30866724088588	5.0316239096686e-08
hsa-mir-3912	-1.1615595614547	1.02200626256738	2.66477589634695e-12
hsa-mir-3920	-1.22501846858738	-1.24419462885361	0.000634096828788479
hsa-mir-3929	-2.23078131512961	0.519321287270078	6.74326737457163e-09
hsa-mir-3939	-1.22493253860089	-1.43523370180119	0.00874219716445469
hsa-mir-3943	-2.80737153556847	-1.37927369700698	0.00183670200264572
hsa-mir-433	-1.34554931904766	8.5237255249229	8.80656766762556e-05
hsa-mir-4519	-1.29644191117473	-1.48517913502646	0.00381099934309546
hsa-mir-4520-1	-1.29644722292518	-1.43371633260733	0.023267636842414
hsa-mir-4520-2	-1.08007005436722	-1.48865015010315	0.0343982063378972
hsa-mir-4522	-1.52642342354412	-1.42894686641976	9.59787317076573e-05
hsa-mir-4661	-1.21517765148075	1.1752133545714	1.18191535522853e-05
hsa-mir-4691	-1.53806461126606	-0.608837941696092	6.01485032910155e-07
hsa-mir-4701	-1.05783301225359	-1.32282439883114	0.0113391282091956
hsa-mir-4704	-1.28535641090535	-1.5225372779196	0.00602088874501641
hsa-mir-4742	-1.25529950986238	1.21910969258308	1.61340900514337e-13
hsa-mir-4752	-1.25853787807926	-1.496805056966	0.0163178236767111
hsa-mir-490	-2.5862643572818	1.13400538733495	0.000216202730840296
hsa-mir-506	-3.34902742716365	1.75002340090429	8.4222615465781e-08
hsa-mir-507	-1.98145357667127	-0.785762301137192	0.00829301434454197
hsa-mir-508	-2.49460768427178	7.45487785214197	3.89589079460485e-07
hsa-mir-509-1	-3.43774599003696	4.10691671538522	2.37839847161537e-13
hsa-mir-509-2	-3.43084037382182	4.10508369047171	3.66107925661878e-13
hsa-mir-509-3	-3.45196251235978	4.42236424616296	1.85767305168967e-13
hsa-mir-510	-2.80540619242028	-1.17204485114495	0.00407011252649793
hsa-mir-513a-1	-3.0773142753056	-0.799649653587403	0.000752053455265175
hsa-mir-513a-2	-2.99830064216344	-0.63427550809765	0.00224809227331237
hsa-mir-513b	-2.4744095999647	-0.714034954158461	0.00607827192854754
hsa-mir-513c	-1.76353541422589	0.473946506392023	0.0448437332980424
hsa-mir-514a-1	-3.03757934637375	4.00099697740756	5.7537041417837e-10
hsa-mir-514a-2	-3.04445042026959	3.99983465947306	6.23570214293536e-10
hsa-mir-514a-3	-3.02263671556118	4.00780829392284	6.35784632714948e-10
hsa-mir-516b-2	-1.2728506640064	-1.42657084483229	0.0102931240214579
hsa-mir-520a	-1.04595582479698	-0.957937627419598	0.023388496140718
hsa-mir-548f-1	-1.45181030606909	0.243561773683834	9.68628875790341e-05
hsa-mir-551a	-1.56685293147793	-1.07115647938482	2.52269832789482e-05
hsa-mir-611	-1.12851981106287	-1.53402383659475	0.0189791842428687
hsa-mir-6715b	-1.80766542638327	-1.24753495166145	0.000239171720565977
hsa-mir-6716	-1.03066634318719	0.530013166267713	7.67529553091870e-09
hsa-mir-6758	-1.18550772461898	-1.10321233490476	2.11805588259026e-05
hsa-mir-6795	-1.19791951575566	-1.50205933187286	0.0153982891124136
hsa-mir-6832	-1.04997654368603	-1.19133622818545	0.00403449126753045
hsa-mir-6856	-1.07939482692748	-1.3372623916505	0.00582600109226159
hsa-mir-767	-1.66614869970229	3.46128931024036	0.00859741666829446
hsa-mir-888	-2.63125429897362	-1.45149160044351	3.0308453032608e-05
hsa-mir-891a	-3.06736976955224	2.27600457508569	6.47515606459484e-17
hsa-mir-891b	-1.19986888378205	-1.531944533248	0.0368908121250709
hsa-mir-892a	-3.04664824647213	-1.23783526322639	7.29039906832366e-10
hsa-mir-892b	-1.26586896054363	-1.5216775142453	0.0269242134736193
hsa-mir-892c	-1.25703640911129	-1.53472126977017	0.0382359455160834
hsa-mir-935	-2.23365520618469	3.22206987208271	2.15943627691055e-05
hsa-mir-96	-2.84092893813314	2.43394549193274	2.00954234177074e-10
