Gene2	logFC	logCPM	PValue
hsa-mir-1258	3.0077395787097	-1.02988844083551	0.000110904557386316
hsa-mir-1269a	5.62666064439962	5.83273870597447	3.46124032124054e-08
hsa-mir-1293	1.51574002614909	-0.510552440924633	0.00037578610258801
hsa-mir-132	2.00629931919167	9.9952226222136	8.5005694190184e-12
hsa-mir-135a-1	1.78045157788428	3.25062627524288	1.47807509664337e-05
hsa-mir-135a-2	1.93614838884904	3.49468652321567	5.07891421487052e-06
hsa-mir-138-1	1.68470709313916	4.60546182202724	5.45499890939022e-09
hsa-mir-138-2	1.48880861287601	4.01105062318952	1.44488769501912e-08
hsa-mir-146b	1.23687839989227	7.25120374188896	2.67534193815321e-08
hsa-mir-184	2.09364468224575	3.38170930157574	2.22814845351686e-06
hsa-mir-193b	2.57281608481479	4.36519514314736	2.85701366150231e-12
hsa-mir-202	6.91489921211523	6.76369070895321	2.7131821405363e-12
hsa-mir-203a	1.45630531138936	5.95867203131878	1.08069910959149e-05
hsa-mir-203b	1.88683623116576	2.22117409239546	3.89508880368461e-05
hsa-mir-206	2.08421117121093	-0.723825376651737	0.00424981283627623
hsa-mir-2114	1.32488949940556	0.769205583560596	3.73108733376322e-05
hsa-mir-212	2.06089081868843	4.95155558434823	4.30025527010411e-11
hsa-mir-215	2.27861680743748	4.12733053220774	6.24276747648948e-14
hsa-mir-31	2.60961639128031	0.460857665933566	0.00211159309198319
hsa-mir-3926-1	1.44193579919636	-1.22517186506513	0.00715127135289208
hsa-mir-3926-2	1.10023215297333	-1.11386726830761	0.0252596699386054
hsa-mir-4423	2.61337627895826	-0.253160161307	0.00313129904508896
hsa-mir-449a	2.16386765663538	-0.869157426042312	0.000107680560586016
hsa-mir-449b	1.41338133454521	-1.46343493366342	0.0030922584256021
hsa-mir-4654	1.003931666347	-1.2960658458521	0.00922773497091183
hsa-mir-4661	1.13700182918165	1.17520483329243	7.77265795872021e-06
hsa-mir-4724	1.49940221874266	-1.29154986726431	0.00510559854287936
hsa-mir-4797	1.66100485916931	0.239782904883294	2.43064894660837e-07
hsa-mir-4800	1.89251034392782	-0.942239062587156	8.48710961405342e-06
hsa-mir-504	1.71465008021426	1.44084727853062	0.000347034538351584
hsa-mir-506	3.76888049525146	1.7500367432504	3.4988415055831e-06
hsa-mir-507	2.34277390021691	-0.786041071033367	0.00362926446652618
hsa-mir-508	4.01551020952609	7.45487188575978	4.47237766865475e-12
hsa-mir-509-1	3.79501489905188	4.10693892882568	4.71423882724909e-10
hsa-mir-509-2	3.66848942782903	4.10510454410809	1.82657316744096e-09
hsa-mir-509-3	4.00840620870974	4.42237208280137	6.64737032112764e-11
hsa-mir-513a-1	2.96784923561813	-0.799525874420699	0.00740214091162785
hsa-mir-513a-2	3.64619931565979	-0.634407128486189	0.00171968303856459
hsa-mir-513b	3.36922196924357	-0.714232863667138	0.000956831077177653
hsa-mir-513c	5.08625336125606	0.473209472535674	7.2943067679382e-07
hsa-mir-514a-1	4.02170381836936	4.00098202131774	5.73453611949736e-11
hsa-mir-514a-2	4.07543663949195	3.99981870237107	4.18220293684159e-11
hsa-mir-514a-3	4.01813319978148	4.00778824448957	4.86002115729037e-11
hsa-mir-514b	3.47977079902141	0.0247812348813534	0.000272319164677464
hsa-mir-548ag-2	1.51201061853725	0.127890086925315	0.000273089877954123
hsa-mir-548ba	1.95773105343895	-0.463074646295324	0.000319784272022675
hsa-mir-582	1.01307271220645	6.69812327487361	0.00050971723570878
hsa-mir-6501	1.04682643693933	-1.30358096802272	0.0122324653033807
hsa-mir-6506	1.60162028424865	-1.01759064695514	0.000171161092978022
hsa-mir-6749	1.10766662628382	-1.36859893729654	0.00573738372595778
hsa-mir-675	1.49893939338322	8.35384148703136	0.00113141646510912
hsa-mir-6762	1.27042254022545	-0.953734987762696	5.26936371324864e-06
hsa-mir-6766	1.32244994247311	-1.07789476584216	0.000114506679627703
hsa-mir-6842	1.16915019899466	2.23917214231435	3.78853926768046e-07
hsa-mir-885	1.78259668298998	4.09518605884335	1.57305620413208e-05
hsa-mir-892a	1.30663782958969	-1.23770571227905	0.0490473446132688
hsa-mir-934	1.73088430970056	-1.01016364542648	4.58492828726138e-05
