Gene2	logFC	logCPM	PValue
hsa-mir-1-1	-1.57672003148606	3.60360848886371	5.24775621822009e-11
hsa-mir-1-2	-1.51315548395817	3.64771263640721	2.73658084194253e-10
hsa-mir-1185-1	-1.18068781253825	3.42789258641975	3.95412986829246e-09
hsa-mir-1197	-2.30471657769867	3.56349799917318	4.80474468410485e-22
hsa-mir-122	-2.7501395306422	1.80994311159663	2.10189626717781e-06
hsa-mir-1236	-1.24463606999938	-1.2752218677884	1.16161191308288e-05
hsa-mir-133a-1	-1.82952773650519	2.15268875012785	3.8275065355057e-13
hsa-mir-133a-2	-1.78152440708008	2.07888799690217	1.05829462012469e-12
hsa-mir-133b	-2.60873259640578	-0.0976846971544022	2.07497163629892e-11
hsa-mir-141	-3.9716197502671	3.77162877323885	2.42429554522314e-51
hsa-mir-190b	-1.34027671849293	0.0370421255422851	3.57680023394104e-07
hsa-mir-196b	-1.23012302373926	7.51614366209363	0.00141770179151216
hsa-mir-200a	-6.36356684965756	3.35991149589472	5.35095689448076e-70
hsa-mir-200b	-6.20948559967657	3.50015626993061	3.98231637162323e-68
hsa-mir-200c	-4.57674703747045	7.13033089354754	6.26192073209737e-61
hsa-mir-205	-1.07732910306929	-1.18070603063607	0.0230132107627587
hsa-mir-210	-1.24398436942524	8.98275424773314	3.89811462272908e-09
hsa-mir-216a	-2.08476044367762	1.2546172142999	1.6188529282249e-09
hsa-mir-216b	-3.29821764232608	1.33288176367526	1.85685924198252e-13
hsa-mir-217	-2.2631917148328	6.19048148770992	3.6716166481504e-13
hsa-mir-323a	-1.1482044171639	8.63206721472639	3.44323895782159e-08
hsa-mir-323b	-1.12354748443922	8.53952616925525	5.51443728467466e-07
hsa-mir-34b	-3.09098958224223	0.861670129031756	5.45317234478416e-26
hsa-mir-34c	-3.34457466272127	3.1011690280519	2.97399435410725e-37
hsa-mir-3659	-1.10720920069965	-1.54161566789341	0.000941592081077031
hsa-mir-376a-2	-1.43567468117988	3.28449618930266	2.94796520592691e-11
hsa-mir-410	-1.35035459888393	10.1419741125494	2.73644095363474e-09
hsa-mir-412	-2.32363396672356	9.29382037523239	2.12287276928465e-16
hsa-mir-429	-6.83991000403607	1.38597709512145	2.21790096861985e-24
hsa-mir-431	-1.30188618395346	10.7609930290551	3.62912779017942e-07
hsa-mir-432	-1.26621139125075	9.59895142760642	1.21896273829158e-07
hsa-mir-4421	-1.37932385070331	-0.948452989061954	2.8107875665649e-06
hsa-mir-4690	-1.01436950050551	-1.17318559147356	0.00115285262817568
hsa-mir-4763	-1.01252833905652	-0.945280615010003	2.60572717003272e-05
hsa-mir-4770	-1.14302233389428	-1.4622639692318	0.000750201587668547
hsa-mir-483	-1.01767167069784	9.36045559146159	2.74602543884158e-05
hsa-mir-496	-1.67103282437612	6.96407597813904	2.50239273657523e-15
hsa-mir-541	-1.97332867929826	6.85624738143202	7.34204491460229e-14
hsa-mir-544a	-1.11554510044954	2.72296487607764	3.29863451734209e-07
hsa-mir-592	-1.19419520550735	6.72640014080271	1.00044878629279e-05
hsa-mir-6087	-1.00389632708388	-1.36761057154423	0.00536634013257187
hsa-mir-642a	-1.52924612797011	1.13427207191053	2.22608978056114e-05
hsa-mir-668	-1.37039871240386	4.73846291630892	7.41491786740507e-10
hsa-mir-670	-1.10664585511462	2.41028730193911	6.84257347415441e-05
hsa-mir-6715a	-1.06711070189832	-0.0044195684315709	0.0152237921114231
hsa-mir-6728	-1.9541571458338	-1.25918429114507	7.53459567443534e-09
hsa-mir-6756	-1.06040663507294	-1.46869423273439	0.00260146077230819
hsa-mir-6844	-1.16723113344071	-0.819619851938878	6.81529365001455e-06
hsa-mir-7151	-1.2101111232599	-1.34495329237324	0.000175475865272076
hsa-mir-7152	-1.58897074291986	-1.04045546742589	0.00787660559099614
hsa-mir-7641-1	-1.09892608209407	-1.19488081530372	0.00244525384179352
hsa-mir-7978	-1.98961591229228	-1.26382638007532	9.63558050495201e-09
