microRNA	Gene_name	expression.correlation	correlation.pvalue
hsa-mir-1236	KCNG1	-0.339563668515252	4.56586135447647e-06
hsa-mir-182	MIR137HG	-0.384006272499481	1.6874744507157e-07
hsa-mir-182	LINC00954	-0.331751031716697	7.75426042355927e-06
hsa-mir-182	LINC00877	-0.376685768099595	3.00738392133864e-07
hsa-mir-182	HCG11	-0.334659108640317	6.3775286047068e-06
hsa-mir-182	MAGI2-AS3	-0.330502593917381	8.42788750901843e-06
hsa-mir-182	OTUD6B-AS1	-0.33243578310097	7.40678596752483e-06
hsa-mir-182	CASC2	-0.345781581743432	2.96446993217829e-06
hsa-mir-182	LINC00900	-0.386770178419027	1.35171486024812e-07
hsa-mir-182	LINC01229	-0.331599826568784	7.83304395507447e-06
hsa-mir-182	RFPL1S	-0.352970117759752	1.7783836789837e-06
hsa-mir-183	MIR137HG	-0.413231245724026	1.45367860866172e-08
hsa-mir-183	LINC00954	-0.348498963783965	2.4473733682276e-06
hsa-mir-183	HAGLROS	-0.397672356031193	5.52197787175207e-08
hsa-mir-183	LINC00877	-0.461161249908107	1.5149277658541e-10
hsa-mir-183	HCG11	-0.369283825638871	5.31809410654021e-07
hsa-mir-183	MAGI2-AS3	-0.343532687397922	3.4694052753946e-06
hsa-mir-183	OTUD6B-AS1	-0.35383734709034	1.67063409047956e-06
hsa-mir-183	CASC2	-0.400130859399093	4.49228672416469e-08
hsa-mir-183	LINC00900	-0.430895758818551	2.93507781187861e-09
hsa-mir-183	AL132709.1	-0.33876562108795	4.8228794535503e-06
hsa-mir-183	CPEB1-AS1	-0.331848073410009	7.70409432450912e-06
hsa-mir-183	LINC01229	-0.379968885457793	2.32487503571122e-07
hsa-mir-183	RFPL1S	-0.38786573610503	1.23722123821347e-07
hsa-mir-208b	LINC01114	-0.358408152868318	1.19806707453011e-06
hsa-mir-208b	LINC01159	-0.337398054989325	5.29553901952309e-06
hsa-mir-208b	AC009312.1	-0.355165745515612	1.5175621555918e-06
hsa-mir-208b	HAGLROS	-0.388968992186806	1.13135264940434e-07
hsa-mir-208b	OLMALINC	-0.336500792078214	5.62918744615074e-06
hsa-mir-208b	LINC00900	-0.331602557813535	7.83161417174672e-06
hsa-mir-208b	FAM222A-AS1	-0.389119289362119	1.11762089190948e-07
hsa-mir-208b	LOXL1-AS1	-0.362311327538946	8.98220373444965e-07
hsa-mir-210	LEMD1-AS1	-0.332474390679956	7.38764091047978e-06
hsa-mir-210	NRIR	-0.360252037057656	1.04614163010529e-06
hsa-mir-210	RNF144A-AS1	-0.416820034499029	1.05809181779514e-08
hsa-mir-210	BCYRN1	-0.376029596877133	3.16507856726635e-07
hsa-mir-210	ACYP2	-0.461182406374934	1.51163621219849e-10
hsa-mir-210	RNU4ATAC	-0.379044206919777	2.50039642087757e-07
hsa-mir-210	LINC01473	-0.341518644067019	3.99007513481425e-06
hsa-mir-210	THUMPD3-AS1	-0.331248075462732	8.01926434114034e-06
hsa-mir-210	SATB1-AS1	-0.370243425840797	4.94318981366305e-07
hsa-mir-210	ACAA1	-0.386774642608956	1.35122834058151e-07
hsa-mir-210	ENTPD3-AS1	-0.332156395574863	7.54673909895863e-06
hsa-mir-210	LINC00877	-0.366828791416403	6.40495454498326e-07
hsa-mir-210	LINC00882	-0.408499573655159	2.19727442181938e-08
hsa-mir-210	LINC00884	-0.389867949376157	1.05156802608651e-07
hsa-mir-210	AC108676.1	-0.341465036954068	4.00489954229445e-06
hsa-mir-210	LINC01182	-0.340039864451734	4.41875139376162e-06
hsa-mir-210	LINC01085	-0.386911999223178	1.3363406306391e-07
hsa-mir-210	SCOC-AS1	-0.345501193762581	3.02337829216033e-06
hsa-mir-210	HCG11	-0.342272214711949	3.78712311104481e-06
hsa-mir-210	LINC00951	-0.341037442632465	4.12503299336049e-06
hsa-mir-210	RNF217-AS1	-0.419851421028091	8.0674574058385e-09
hsa-mir-210	LINC00525	-0.365419481457274	7.12155693778964e-07
hsa-mir-210	AC022182.1	-0.332703440776633	7.27501867982116e-06
hsa-mir-210	OTUD6B-AS1	-0.390853297156786	9.70321382674351e-08
hsa-mir-210	LINC01508	-0.358215231914894	1.21512627204409e-06
hsa-mir-210	PAPPA-AS2	-0.333437516818298	6.92494393136431e-06
hsa-mir-210	ADIRF-AS1	-0.360803464373035	1.00440077661769e-06
hsa-mir-210	CASC2	-0.340693811338957	4.22404957852016e-06
hsa-mir-210	PWRN1	-0.374723026059836	3.50296248565701e-07
hsa-mir-210	SNHG14	-0.352559892145755	1.8316287194478e-06
hsa-mir-210	LOXL1-AS1	-0.368850955208639	5.49596751445974e-07
hsa-mir-210	CPEB1-AS1	-0.462564693554187	1.31095499739227e-10
hsa-mir-210	TMEM220-AS1	-0.499996509003068	2.15192357221027e-12
hsa-mir-210	GACAT2	-0.370051037237325	5.0162683072984e-07
hsa-mir-210	LINC01273	-0.357323058467157	1.29707504156114e-06
hsa-mir-210	LINC01285	-0.35314811842764	1.75574174321896e-06
hsa-mir-210	SLC25A5-AS1	-0.428834498526244	3.55448743577971e-09
hsa-mir-34b	TAF1A-AS1	-0.331084086135047	8.10750845366728e-06
hsa-mir-34b	LINC00608	-0.333499996392734	6.89589724108522e-06
hsa-mir-34b	FGD5-AS1	-0.343424745415703	3.49558893576056e-06
hsa-mir-34b	ACVR2B-AS1	-0.341315516805418	4.04652454086827e-06
hsa-mir-34b	PTPRG-AS1	-0.338642252634177	4.86381672385515e-06
hsa-mir-34b	LINC00882	-0.412617652389465	1.53423498708873e-08
hsa-mir-34b	NOP14-AS1	-0.333786026736299	6.76439062364001e-06
hsa-mir-34b	STX18-AS1	-0.349392490252162	2.29697788617064e-06
