microRNA	Gene1
hsa-miR-208b	LINC02418
hsa-miR-208b	LINC02449
hsa-miR-208b	AL512625.1
hsa-miR-208b	SHANK2-AS3
hsa-miR-208b	AC025171.1
hsa-miR-208b	LINC02363
hsa-miR-208b	LINC00304
hsa-miR-208b	LINC00476
hsa-miR-208b	AC073072.1
hsa-miR-208b	CYTOR
hsa-miR-208b	LINC00313
hsa-miR-208b	AC025165.1
hsa-miR-208b	AL669831.3
hsa-miR-208b	TP53TG1
hsa-miR-208b	CROCCP2
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	AC144450.1
hsa-miR-208b	STXBP5-AS1
hsa-miR-208b	LINC00222
hsa-miR-208b	LIN28B-AS1
hsa-miR-208b	ACOXL-AS1
hsa-miR-208b	ZNRD1ASP
hsa-miR-208b	AL133464.1
hsa-miR-208b	C1RL-AS1
hsa-miR-208b	Z99774.1
hsa-miR-208b	SLC25A5-AS1
hsa-miR-208b	WT1-AS
hsa-miR-208b	AC019080.1
hsa-miR-208b	LINC02026
hsa-miR-208b	COL18A1-AS1
hsa-miR-208b	APTR
hsa-miR-208b	MEG3
hsa-miR-208b	MEG3
hsa-miR-208b	MEG3
hsa-miR-208b	MEG3
hsa-miR-208b	DGCR5
hsa-miR-208b	LINC00680
hsa-miR-208b	LINC02449
hsa-miR-208b	MIR99AHG
hsa-miR-208b	AC245128.1
hsa-miR-208b	CYTOR
hsa-miR-208b	CYTOR
hsa-miR-208b	CYTOR
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	AL365356.1
hsa-miR-208b	HCG11
hsa-miR-208b	ZRANB2-AS2
hsa-miR-208b	GAS5
hsa-miR-208b	AC007179.2
hsa-miR-208b	LINC00476
hsa-miR-208b	LINC00161
hsa-miR-208b	AC005515.1
hsa-miR-208b	AL732372.1
hsa-miR-208b	ID2-AS1
hsa-miR-208b	MEG3
hsa-miR-208b	CROCCP2
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	CYTOR
hsa-miR-208b	EPB41L4A-AS1
hsa-miR-208b	LINC00689
hsa-miR-208b	AC084030.1
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	AC008440.2
hsa-miR-208b	WARS2-AS1
hsa-miR-208b	AC013275.1
hsa-miR-208b	MIAT
hsa-miR-208b	LINC00313
hsa-miR-208b	AL138828.1
hsa-miR-208b	AL451105.2
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	AL354863.1
hsa-miR-208b	AC000099.1
hsa-miR-208b	LINC00472
hsa-miR-208b	SH3BP5-AS1
hsa-miR-208b	CYTOR
hsa-miR-208b	AC097059.2
hsa-miR-208b	GAS5
hsa-miR-208b	TEX41
hsa-miR-208b	AC000120.1
hsa-miR-208b	TEX41
hsa-miR-208b	IATPR
hsa-miR-208b	LINC02026
hsa-miR-208b	AP003025.1
hsa-miR-208b	CYTOR
hsa-miR-208b	NRSN2-AS1
hsa-miR-208b	CASC2
hsa-miR-208b	PIGL
hsa-miR-208b	AP003025.1
hsa-miR-208b	AC095032.2
hsa-miR-208b	AL358452.1
hsa-miR-208b	LRRC52-AS1
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	LINC00364
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	AC004988.1
hsa-miR-208b	AL158835.1
hsa-miR-208b	AC007349.3
hsa-miR-208b	AL499616.1
hsa-miR-208b	CADM3-AS1
hsa-miR-208b	LINC02532
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	LINC01717
hsa-miR-208b	GAS1RR
hsa-miR-208b	AC079465.1
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	LINC00222
hsa-miR-208b	LINC00426
hsa-miR-208b	AC093157.1
hsa-miR-208b	XIST
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	LRRC52-AS1
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	TP53TG1
hsa-miR-208b	APTR
hsa-miR-208b	AL512353.1
hsa-miR-208b	AC234771.1
hsa-miR-208b	LINC00222
hsa-miR-208b	GAS5
hsa-miR-208b	LINC-PINT
hsa-miR-208b	LINC00689
hsa-miR-208b	LINC00426
hsa-miR-208b	RGPD4-AS1
hsa-miR-208b	STXBP5-AS1
hsa-miR-208b	TEX50
hsa-miR-208b	AL121990.1
hsa-miR-208b	P4HA2-AS1
hsa-miR-208b	LINC00222
hsa-miR-208b	XIST
hsa-miR-208b	WARS2-AS1
hsa-miR-208b	LINC00466
hsa-miR-208b	LINC02532
hsa-miR-208b	LINC01376
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	AC008063.1
hsa-miR-208b	LINC01814
hsa-miR-208b	LINC00680
hsa-miR-208b	LINC00313
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	AC007557.3
hsa-miR-208b	ACOXL-AS1
hsa-miR-208b	LINC00680
hsa-miR-208b	MIR99AHG
hsa-miR-208b	LINC02087
hsa-miR-208b	AL357146.1
hsa-miR-208b	MIAT
hsa-miR-208b	FGF14
hsa-miR-208b	LRRC52-AS1
hsa-miR-208b	ID2-AS1
hsa-miR-208b	AC008060.3
hsa-miR-208b	MIAT
hsa-miR-208b	AL158834.1
hsa-miR-208b	LINC01135
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	CYTOR
hsa-miR-208b	AL117378.1
hsa-miR-208b	AL596451.1
hsa-miR-208b	AF064860.2
hsa-miR-208b	AL138828.1
hsa-miR-208b	MIR99AHG
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	LINC00937
hsa-miR-208b	NFE4
hsa-miR-208b	SH3BP5-AS1
hsa-miR-208b	LINC00426
hsa-miR-208b	LINC00426
hsa-miR-208b	ZNRD1ASP
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	TEX41
hsa-miR-208b	TRAF3IP2-AS1
hsa-miR-208b	AL158166.2
hsa-miR-208b	ENTPD3-AS1
hsa-miR-208b	GAS5
hsa-miR-208b	LINC02474
hsa-miR-208b	LINC01354
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	LRRC52-AS1
hsa-miR-208b	TP53TG1
hsa-miR-208b	ID2-AS1
hsa-miR-208b	AL117378.1
hsa-miR-208b	XIST
hsa-miR-208b	LINC00899
hsa-miR-208b	DGCR5
hsa-miR-208b	BSN-DT
hsa-miR-208b	AL512770.1
hsa-miR-208b	ZNRD1ASP
hsa-miR-208b	LINC00472
hsa-miR-208b	AL354733.2
hsa-miR-208b	LINC02518
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	MIAT
hsa-miR-208b	GAS5
hsa-miR-208b	POTEH-AS1
hsa-miR-208b	AL355516.1
hsa-miR-208b	GAS5
hsa-miR-208b	GAS5
hsa-miR-208b	ZNRD1ASP
hsa-miR-208b	AL158817.1
hsa-miR-208b	MIAT
hsa-miR-208b	LINC00972
hsa-miR-208b	LNCNEF
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	AL391095.1
hsa-miR-208b	LINC00680
hsa-miR-208b	PAX8-AS1
hsa-miR-208b	TEX41
hsa-miR-208b	LINC01777
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	LINC-PINT
hsa-miR-208b	MEG3
hsa-miR-208b	AL157895.1
hsa-miR-208b	AC005301.1
hsa-miR-208b	AC114498.1
hsa-miR-208b	CYTOR
hsa-miR-208b	AL589843.1
hsa-miR-208b	MEG3
hsa-miR-208b	AL590783.1
hsa-miR-208b	PRMT5-AS1
hsa-miR-208b	AL136131.2
hsa-miR-208b	DGCR9
hsa-miR-208b	AL121917.1
hsa-miR-208b	HOTAIR
hsa-miR-208b	HSPD1P6
hsa-miR-208b	LINC01376
hsa-miR-208b	LINC01040
hsa-miR-208b	ENTPD3-AS1
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	MIAT
hsa-miR-208b	BX088651.2
hsa-miR-208b	HOTAIR
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	ZNRD1ASP
hsa-miR-208b	CERS6-AS1
hsa-miR-208b	AC009495.3
hsa-miR-208b	LINC01505
hsa-miR-208b	GAS5
hsa-miR-208b	WARS2-AS1
hsa-miR-208b	AL034428.1
hsa-miR-208b	CASC2
hsa-miR-208b	AL021392.1
hsa-miR-208b	LINC02554
hsa-miR-208b	LINC01675
hsa-miR-208b	GARS-DT
hsa-miR-208b	GACAT3
hsa-miR-208b	RF02209
hsa-miR-208b	LINC00472
hsa-miR-208b	AC079584.1
hsa-miR-208b	AL031429.1
hsa-miR-208b	LINC00313
hsa-miR-208b	LINC00313
hsa-miR-208b	AL592435.1
hsa-miR-208b	LINC00476
hsa-miR-208b	EPB41L4A-AS1
hsa-miR-208b	AL354714.3
hsa-miR-208b	AL158154.1
hsa-miR-208b	STXBP5-AS1
hsa-miR-208b	LINC02532
hsa-miR-208b	LINC01524
hsa-miR-208b	LINC01089
hsa-miR-208b	LINC01189
hsa-miR-208b	AL359081.1
hsa-miR-208b	AP000695.2
hsa-miR-208b	MIR99AHG
hsa-miR-208b	AL590399.5
hsa-miR-208b	AL590399.5
hsa-miR-208b	LINC02532
hsa-miR-208b	RGS5
hsa-miR-208b	MEG3
hsa-miR-208b	LINC01281
hsa-miR-208b	LY86-AS1
hsa-miR-208b	AL592464.1
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	LINC00476
hsa-miR-208b	LINC00426
hsa-miR-208b	LINC01153
hsa-miR-208b	XIST
hsa-miR-208b	AL592435.1
hsa-miR-208b	LINC01089
hsa-miR-208b	LINC-PINT
hsa-miR-208b	LINC02532
hsa-miR-208b	RAPGEF4-AS1
hsa-miR-208b	LINC00299
hsa-miR-208b	GAS5
hsa-miR-208b	AF165147.1
hsa-miR-208b	AC019080.1
hsa-miR-208b	MIAT
hsa-miR-208b	LINC02518
hsa-miR-208b	AL589642.1
hsa-miR-208b	APTR
hsa-miR-208b	LINC00222
hsa-miR-208b	ZNRD1ASP
hsa-miR-208b	AL133230.1
hsa-miR-208b	STXBP5-AS1
hsa-miR-208b	PIGL
hsa-miR-208b	AL157895.1
hsa-miR-208b	LINC-PINT
hsa-miR-208b	AL445235.1
hsa-miR-208b	GAS5
hsa-miR-208b	LINC01343
hsa-miR-208b	AL354863.1
hsa-miR-208b	TEX41
hsa-miR-208b	HSFX3
hsa-miR-208b	LINC01626
hsa-miR-208b	AL359081.1
hsa-miR-208b	DSCR10
hsa-miR-208b	LINC01376
hsa-miR-208b	TP53TG1
hsa-miR-208b	AL450992.1
hsa-miR-208b	GAS5
hsa-miR-208b	LINC00466
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	TEX41
hsa-miR-208b	LINC-PINT
hsa-miR-208b	STXBP5-AS1
hsa-miR-208b	AF165147.1
hsa-miR-208b	ID2-AS1
hsa-miR-208b	AJ009632.1
hsa-miR-208b	ID2-AS1
hsa-miR-208b	LINC00476
hsa-miR-208b	XIST
hsa-miR-208b	BSN-DT
hsa-miR-208b	LINC02532
hsa-miR-208b	PCDH9-AS3
hsa-miR-208b	LINC02015
hsa-miR-208b	AL358972.1
hsa-miR-208b	AC007179.2
hsa-miR-208b	AC009227.1
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	GAS5
hsa-miR-208b	XIST
hsa-miR-208b	AC007881.2
hsa-miR-208b	AC002480.1
hsa-miR-208b	LINC01275
hsa-miR-208b	RAPGEF4-AS1
hsa-miR-208b	LINC01505
hsa-miR-208b	LINC-PINT
hsa-miR-208b	AC007179.2
hsa-miR-208b	LINC01354
hsa-miR-208b	LY86-AS1
hsa-miR-208b	LINC01822
hsa-miR-208b	MIR99AHG
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	C1RL-AS1
hsa-miR-208b	CASC2
hsa-miR-208b	LINC02015
hsa-miR-208b	LINC01814
hsa-miR-208b	MIAT
hsa-miR-208b	GAS5
hsa-miR-208b	AL354863.1
hsa-miR-208b	LINC00466
hsa-miR-208b	SH3BP5-AS1
hsa-miR-208b	GAS5
hsa-miR-208b	LINC02532
hsa-miR-208b	LINC00472
hsa-miR-208b	AL137025.1
hsa-miR-208b	AL354863.1
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	AC034187.1
hsa-miR-208b	FGF14-IT1
hsa-miR-208b	AL035701.1
hsa-miR-208b	ZNRD1ASP
hsa-miR-208b	PCBP1-AS1
hsa-miR-208b	CYTOR
hsa-miR-208b	LINC00884
hsa-miR-208b	AC004862.1
hsa-miR-208b	AL121974.1
hsa-miR-208b	LINC00689
hsa-miR-208b	LINC00972
hsa-miR-208b	AC110615.1
hsa-miR-208b	AL109807.1
hsa-miR-208b	LRRC52-AS1
hsa-miR-208b	TRAF3IP2-AS1
hsa-miR-208b	VAV3-AS1
hsa-miR-208b	DGCR5
